Lon,Lat,Clave,Edo,Est,Tmax
-99.2,19.3,DATDF,DF,DESVIACION ALTA,20.2
-104.6,24.09,76423,DGO,DURANGO,22.8
-104.66,24.03,DRGDR,DGO,DURANGO,23.1
-98.2,18.98,ECHPB,PUE,ECHEVERRIA,24.5
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,24.8
-99.12,24.08,BR1TP,TAMPS,EL BARRERAL 1,21.8
-99.21,24.1,BRRTP,TAMPS,EL BARRETAL,21.9
-110.73,29.47,CJNSO,SON,EL CAJON,28.6
-116.7,32.48,CRRBN,BC,EL CARRIZO,24.1
-109.33,26.1,CRRSI,SIN,EL CARRIZO,27.9
-103.09,23.69,ELCZC,ZAC,EL CAZADERO,21.3
-102.89,22,CHIZC,ZAC,EL CHIQUE,25.7
-109.23,29.2,ECBSO,SON,EL CUBIL,28.8
-87.78,21.51,CYOYC,YUC,EL CUYO,26.8
-108.61,26.43,EFTSI,SIN,EL FUERTE,32.4
-100.45,19.96,EGIMC,MICH,EL GIGANTE,26.0
-98.44,21.77,HGOVC,VER,EL HIGO,22.7
-110.43,29.4,PMOSO,SON,EL MOLINITO,29.4
-102.44,21.77,NGRAG,AGS,EL NIAGARA,23.3
-98.51,21.84,OLVVC,VER,EL OLIVO,22.5
-110.7,29.22,ORGSO,SON,EL OREGANO,31.1
-92.81,18.04,EPOTB,TAB,EL PORVENIR,26.6
-98.93,21.84,PUJSL,SLP,EL PUJAL,23.9
-102.04,22.67,ELSZC,ZAC,EL SALADILLO,20.7
-106.69,24.12,SLTSI,SIN,EL SALTO (AURELIO BENASSINI),30.8
-91.78,17.74,EMILIANOZAPATA,TAB,EMILIANO ZAPATA,25.3
-89.58,20.98,EZAYC,YUC,EMILIANO ZAPATA,26.3
-116.16,31.1,ELZBN,BC,EMILIO LOPEZ ZAMORA,23.4
-110.8,27.95,76256,SON,EMPALME,28.6
-110.8,27.95,EPLSO,SON,EMPALME                             *,28.3
-90.74,18.6,ESCCA,CAMP,ESCARCEGA,26.8
-88.05,19.57,76698,QROO,FPE. CARRILLO PUERTO,28.1
-99.23,21.9,GANSL,SLP,GALLINAS,22.9
-105.13,20.88,GAVNR,NAY,GAVIOTAS,31.7
-102.46,22.49,GRCZC,ZAC,GENARO CODINA,19.0
-105.25,25.5,GESDR,DGO,GENERAL ESCOBEDO,18.1
-89.65,20.98,GARYC,YUC,GERENCIA REGIONAL,26.1
-93,17.97,GONTB,TAB,GONZALEZ,26.2
-93.12,16.97,GRICP,CHIS,GRIJALVA,28.3
-103.39,20.71,76612,JAL,GUADALAJARA,23.8
-103.4,20.7,GUCJL,JAL,GUADALAJARA COLOMUS,24.5
-102.51,22.75,GPEZC,ZAC,GUADALUPE,20.6
-108.09,25.46,GMCSI,SIN,GUAMUCHIL,29.8
-105.96,25.93,GNCDR,DGO,GUANACEVIT,20.5
-101.29,21.01,76577,GTO,GUANAJUATO,21.4
-101.26,21.01,GTOGJ,GTO,GUANAJUATO,22.6
-108.3,29.2,GPCCH,CHIH,GUAPOCA,21.6
-108.46,25.71,GSVSI,SIN,GUASAVE,29.0
-107.22,25.34,GTNSI,SIN,GUATENIPA,34.5
-110.85,27.95,GYMSO,SON,GUAYMAS,23.8
